wire_id,net,source,source_pin,target,target_pin,gauge_awg,colour,length_mm_estimate,route
W001,BAT-POS,BT1,+ (F2 blade),J10,red housing,16,red,200,body_lower (battery shelf)
W002,BAT-POS,J10,red housing,FH1,in,16,red,150,body_lower
W003,BAT-FUSED,FH1,out (F1 15 A),SW1,term 1 (battery side),16,red,260,body_lower -> rear lower band
W004,12V-BUS,SW1,term 2 (load side),TB2,12V+ stud,16,red,420,body_lower -> body_upper tray
W005,BAT-NEG,BT1,- (F2 blade),J10,black housing,16,black,200,body_lower (battery shelf)
W006,GND,J10,black housing,TB2,star ground stud,16,black,420,body_lower -> body_upper tray
W007,CHG-POS,J1,centre pin (+),FH2,in,16,red,180,rear lower band of body_lower
W008,CHG-FUSED,FH2,out (F2 3 A),SW1,term 1 (battery side),16,red,160,rear lower band of body_lower
W009,GND,J1,sleeve (-),TB2,star ground stud,16,black,430,body_lower -> body_upper tray
W010,12V-BUS,TB2,12V+ stud,FH3,in,16,red,120,body_upper tray
W011,5V-REG-IN,FH3,out (F3 3 A),U5,VIN,16,red,120,body_upper tray
W012,GND,TB2,star ground stud,U5,GND,16,black,120,body_upper tray
W013,12V-BUS,TB2,12V+ stud,FH4,in,16,red,120,body_upper tray
W014,6VA-REG-IN,FH4,out (F4 5 A),U6,VIN,16,red,120,body_upper tray
W015,GND,TB2,star ground stud,U6,GND,16,black,120,body_upper tray
W016,12V-BUS,TB2,12V+ stud,FH5,in,16,red,120,body_upper tray
W017,6VB-REG-IN,FH5,out (F5 5 A),U7,VIN,16,red,120,body_upper tray
W018,GND,TB2,star ground stud,U7,GND,16,black,120,body_upper tray
W019,5V,U5,VOUT,J12,VBUS,16,red,220,body_upper tray
W020,GND,U5,GND,J12,GND,16,black,220,body_upper tray
W021,5V-USB,J12,USB-C plug,A1,USB-C power input,16,red,0,"body_upper tray (the plug is the connector, not a wire)"
W022,5V,U5,VOUT,FH6,in,22,red,140,body_upper tray
W023,5V,U5,VOUT,U8,VIN,22,red,260,body_upper tray
