net,source,target,awg,note
PACK+,B1 PP30 +,F1 7.5A input,18,Fuse within 100mm of pack plug
FUSED+,F1 output,S1 MAIN input,18,
MAIN+,S1 output,S2 RUN input,18,
MAIN+,S1 output,F6 1A input,22,
LOGIC_IN,F6 output,U6 MPM3610 VIN,22,
RUN+,S2 output,F2 2A input,18,
BUCK1_IN,F2 output,P1 UBEC IN red,22,
BUCK1_IN,F2 output,CI1 220uF25V +,22,
GND,B1 PP30 -,P1 UBEC IN black,18,
GND,B1 PP30 -,P1 UBEC OUT black,18,
GND,B1 PP30 -,CI1 -,22,
RUN+,S2 output,F3 2A input,18,
BUCK2_IN,F3 output,P2 UBEC IN red,22,
BUCK2_IN,F3 output,CI2 220uF25V +,22,
GND,B1 PP30 -,P2 UBEC IN black,18,
GND,B1 PP30 -,P2 UBEC OUT black,18,
GND,B1 PP30 -,CI2 -,22,
RUN+,S2 output,F4 2A input,18,
BUCK3_IN,F4 output,P3 UBEC IN red,22,
BUCK3_IN,F4 output,CI3 220uF25V +,22,
GND,B1 PP30 -,P3 UBEC IN black,18,
GND,B1 PP30 -,P3 UBEC OUT black,18,
GND,B1 PP30 -,CI3 -,22,
RUN+,S2 output,F5 2A input,18,
BUCK4_IN,F5 output,P4 UBEC IN red,22,
BUCK4_IN,F5 output,CI4 220uF25V +,22,
GND,B1 PP30 -,P4 UBEC IN black,18,
GND,B1 PP30 -,P4 UBEC OUT black,18,
GND,B1 PP30 -,CI4 -,22,
5V_LEFT,P1 UBEC OUT red,D1 DRV8833 VMotor +,22,Never parallel regulator outputs
5V_LEFT,P1 UBEC OUT red,CO1 470uF10V +,22,
GND,B1 PP30 -,D1 GND,22,
GND,B1 PP30 -,CO1 -,22,
LEFT_FWD,U1 GPIO14,D1 AIN1,26,
LEFT_FWD,U1 GPIO14,D1 BIN1,26,
LEFT_FWD,U1 GPIO14,R_LEFT_FWD 10k pin1,26,
GND,B1 PP30 -,R_LEFT_FWD pin2,26,
LEFT_REV,U1 GPIO32,D1 AIN2,26,
LEFT_REV,U1 GPIO32,D1 BIN2,26,
LEFT_REV,U1 GPIO32,R_LEFT_REV 10k pin1,26,
GND,B1 PP30 -,R_LEFT_REV pin2,26,
ENABLE,U1 GPIO13,D1 SLP,26,
FAULT,U1 GPIO36 / A4,D1 FLT,26,
M1+ ,D1 AOUT1,M1 red,22,
M1- ,D1 AOUT2,M1 black,22,
M1+ ,M1 red,CM1 100nF pin1,26,Capacitor directly across motor tabs
M1- ,M1 black,CM1 pin2,26,
M2+ ,D1 BOUT1,M2 red,22,
M2- ,D1 BOUT2,M2 black,22,
M2+ ,M2 red,CM2 100nF pin1,26,Capacitor directly across motor tabs
M2- ,M2 black,CM2 pin2,26,
5V_RIGHT,P2 UBEC OUT red,D2 DRV8833 VMotor +,22,Never parallel regulator outputs
5V_RIGHT,P2 UBEC OUT red,CO2 470uF10V +,22,
GND,B1 PP30 -,D2 GND,22,
GND,B1 PP30 -,CO2 -,22,
RIGHT_FWD,U1 GPIO15,D2 AIN1,26,
RIGHT_FWD,U1 GPIO15,D2 BIN1,26,
RIGHT_FWD,U1 GPIO15,R_RIGHT_FWD 10k pin1,26,
GND,B1 PP30 -,R_RIGHT_FWD pin2,26,
RIGHT_REV,U1 GPIO33,D2 AIN2,26,
RIGHT_REV,U1 GPIO33,D2 BIN2,26,
RIGHT_REV,U1 GPIO33,R_RIGHT_REV 10k pin1,26,
GND,B1 PP30 -,R_RIGHT_REV pin2,26,
ENABLE,U1 GPIO13,D2 SLP,26,
FAULT,U1 GPIO36 / A4,D2 FLT,26,
M3+ ,D2 AOUT1,M3 red,22,
M3- ,D2 AOUT2,M3 black,22,
M3+ ,M3 red,CM3 100nF pin1,26,Capacitor directly across motor tabs
M3- ,M3 black,CM3 pin2,26,
M4+ ,D2 BOUT1,M4 red,22,
M4- ,D2 BOUT2,M4 black,22,
M4+ ,M4 red,CM4 100nF pin1,26,Capacitor directly across motor tabs
M4- ,M4 black,CM4 pin2,26,
5V_REAR,P3 UBEC OUT red,D3 DRV8833 VMotor +,22,Never parallel regulator outputs
5V_REAR,P3 UBEC OUT red,CO3 470uF10V +,22,
GND,B1 PP30 -,D3 GND,22,
GND,B1 PP30 -,CO3 -,22,
REAR_FWD,U1 GPIO27,D3 AIN1,26,
REAR_FWD,U1 GPIO27,D3 BIN1,26,
REAR_FWD,U1 GPIO27,R_REAR_FWD 10k pin1,26,
GND,B1 PP30 -,R_REAR_FWD pin2,26,
REAR_REV,U1 GPIO12,D3 AIN2,26,
REAR_REV,U1 GPIO12,D3 BIN2,26,
REAR_REV,U1 GPIO12,R_REAR_REV 10k pin1,26,
GND,B1 PP30 -,R_REAR_REV pin2,26,
ENABLE,U1 GPIO13,D3 SLP,26,
FAULT,U1 GPIO36 / A4,D3 FLT,26,
M5+ ,D3 AOUT1,M5 red,22,
M5- ,D3 AOUT2,M5 black,22,
M5+ ,M5 red,CM5 100nF pin1,26,Capacitor directly across motor tabs
M5- ,M5 black,CM5 pin2,26,
M6+ ,D3 BOUT1,M6 red,22,
M6- ,D3 BOUT2,M6 black,22,
M6+ ,M6 red,CM6 100nF pin1,26,Capacitor directly across motor tabs
M6- ,M6 black,CM6 pin2,26,
ENABLE,U1 GPIO13,R_ENABLE 10k pin1,26,
GND,B1 PP30 -,R_ENABLE pin2,26,
FAULT,U1 GPIO36 / A4,R_FAULT 10k pin1,26,
3V3,U1 3V,R_FAULT pin2,26,
5V_SERVO,P4 UBEC OUT red,SV1 steering red,22,
5V_SERVO,P4 UBEC OUT red,SV2 head red,22,
5V_SERVO,P4 UBEC OUT red,U7 AHCT125 pin14,26,
5V_SERVO,P4 UBEC OUT red,CS 1000uF10V +,22,
5V_SERVO,P4 UBEC OUT red,CB 100nF pin1,26,
5V_SERVO,P4 UBEC OUT red,R_POWER_TOP 10k pin1,26,
GND,B1 PP30 -,SV1 brown/black,22,
GND,B1 PP30 -,SV2 brown/black,22,
GND,B1 PP30 -,U7 pin7,26,
GND,B1 PP30 -,U7 pin1 / 1OE,26,
GND,B1 PP30 -,U7 pin4 / 2OE,26,
GND,B1 PP30 -,U7 pin9 / 3A,26,
GND,B1 PP30 -,U7 pin12 / 4A,26,
GND,B1 PP30 -,CS -,26,
GND,B1 PP30 -,CB pin2,26,
GND,B1 PP30 -,R_POWER_BOTTOM 15k pin2,26,
5V_SERVO,P4 UBEC OUT red,U7 pin10 / 3OE,26,
5V_SERVO,P4 UBEC OUT red,U7 pin13 / 4OE,26,
STEER,U1 GPIO25,U7 pin2,26,
STEER,U1 GPIO25,R_STEER 10k pin1,26,
GND,B1 PP30 -,R_STEER pin2,26,
STEER_5V,U7 pin3,RS1 220ohm pin1,26,
STEER_SIG,RS1 pin2,SV1 signal,26,
HEAD,U1 GPIO26,U7 pin5,26,
HEAD,U1 GPIO26,R_HEAD 10k pin1,26,
GND,B1 PP30 -,R_HEAD pin2,26,
HEAD_5V,U7 pin6,RS2 220ohm pin1,26,
HEAD_SIG,RS2 pin2,SV2 signal,26,
RUN_SENSE,R_POWER_TOP pin2,U1 GPIO39 / A3,26,
RUN_SENSE,R_POWER_TOP pin2,R_POWER_BOTTOM pin1,26,
RUN_SENSE,R_POWER_TOP pin2,CP 100nF pin1,26,
GND,B1 PP30 -,CP pin2,26,
MAIN+,S1 output,R_PACK_TOP 100k pin1,26,
PACK_ADC,R_PACK_TOP pin2,U1 GPIO34 / A2,26,
PACK_ADC,R_PACK_TOP pin2,R_PACK_BOTTOM 22k pin1,26,
PACK_ADC,R_PACK_TOP pin2,CA 100nF pin1,26,
GND,B1 PP30 -,R_PACK_BOTTOM pin2,26,
GND,B1 PP30 -,CA pin2,26,
LOGIC_IN,F6 output,CI5 100uF25V +,22,
GND,B1 PP30 -,CI5 -,22,
GND,B1 PP30 -,U6 GND,22,
5V_LOGIC,U6 5V OUT,J_USB removable link input,22,
5V_LOGIC_USB,J_USB output,U1 USB pin,22,REMOVE LINK before plugging computer USB; BAT/JST remain empty
5V_LOGIC,U6 5V OUT,U8 MAX98357A VIN,22,
5V_LOGIC,U6 5V OUT,CO4 470uF10V +,22,
5V_LOGIC,U6 5V OUT,R_GAIN 100k pin1,22,
GND,B1 PP30 -,U1 GND,22,
GND,B1 PP30 -,U8 GND,22,
