reference,quantity,item,manufacturer_part,unit_usd,price_basis,availability_checked_2026_09_11,url,notes
M1-M5,5,TT geared motor for four wheels and head friction drive,Adafruit 3777,2.95,listed,In stock on2026-09-12,https://www.adafruit.com/product/3777,Required motor;3-6V operated at5V;each uses its own1A limited bridge
W1-W5,5,Orange clear TT wheel,Adafruit 3766,1.50,listed,Out of stock on2026-09-11;recheck before purchase,https://www.adafruit.com/product/3766,Four ground wheels plus one head friction wheel;63x29mm;obtain exact part before fit signoff
U1,1,Original TTGO T-Display ESP32 1.14 inch,LILYGO TTGO T-Display,25.00,allowance,Exact revision and stock must be checked,https://github.com/Xinyuan-LilyGO/TTGO-T-Display,Existing user board can remove this cost; not T-Display-S3 or AMOLED
U5-U6 U11,3,DRV8833 dual motor driver,Adafruit 3297,5.95,listed,In stock on2026-09-12,https://www.adafruit.com/product/3297,Keep stock0.2ohm sense resistors;U5/U6 four wheel bridges;U11A head;U11B unused
U10,1,PCA9685 servo PWM board,Adafruit 815,14.95,listed,In stock,https://www.adafruit.com/product/815,Remove OE pull-down; VCC3.3V; leave V+ unconnected
SV0-SV3,4,MG92B positional metal gear micro servo,Adafruit 2307,11.95,listed,In stock,https://www.adafruit.com/product/2307,Includes horns and horn screws; needs 5V control signals
U8-U9,2,74AHCT125 DIP14 level buffer,Adafruit 1787,1.50,listed,In stock,https://www.adafruit.com/product/1787,U8 four5V servo signals;U9 headPWM routing;useAHCT powered-off-input tolerance;verify actual IC marking
U2-U3,2,5V5.5A buck regulator,Pololu D36V50F5 4091,39.95,listed,Rationed active and preferred; backorders allowed,https://www.pololu.com/product/4091,Separate motor and servo regulators;25.4x25.4x9.5mm; no outputs paralleled
U4,1,5V1.2A logic buck regulator,Adafruit MPM3610 4739,6.95,listed,In stock,https://www.adafruit.com/product/4739,Input max21V; solder power pins; EN left open
B1,1,Protected12V6Ah72WhLiFePO4 battery,Bioenno BLF-1206A,79.99,listed,Add to cart offered,https://www.bioennopower.com/products/12v-6ah-lifepo4-battery-pvc,Default ONE battery;12A continuous;0.7kg;keep PP30;pad smaller pack in universal cradle;replace quantity with0 if selecting one SLA option
CH1,1,Matched14.6V2A LiFePO4 charger,Bioenno BPC-1502DC,21.99,listed,Add to cart offered,https://www.bioennopower.com/products/lithium-12v-2a-amp-lifepo4-battery-charger,Bioenno ONLY;remove pack to charge;set quantity0 when selecting SLA charger
B1-ALT7,0,Optional replacement12V7Ah sealed AGM battery,Power-Sonic PS-1270 F2,0,Optional quote required not free,Datasheet checked2026-09-12;quote and stock needed,https://www.power-sonic.com/wp-content/uploads/datasheets/ps-1270.pdf,Choose instead of B1 or ALT14;set ONE battery quantity1 after quote;F2 terminals;max bare67X153Y102Zmm;1.97kg standard;actual fit and loaded drive test required
B1-ALT14,0,Optional replacement12V14Ah sealed AGM battery,Power-Sonic PS-12140 F2,0,Optional quote required not free,Datasheet checked2026-09-12;quote and stock needed,https://www.power-sonic.com/wp-content/uploads/datasheets/ps-12140.pdf,Choose instead of B1 or ALT7;set ONE battery quantity1 after quote;F2 terminals;max bare100X153Y103Zmm;3.78kg current or4.2kg older;actual fit and loaded drive test required
CH1-SLA,0,Optional SLA charger for selected7Ah or14Ah battery,Power-Sonic PSC-121000ACX,0,Optional quote required not free,Manufacturer specification checked2026-09-12;quote and stock needed,https://www.power-sonic.com/product/psc-121000acx/?preview=true,12V1A automatic SLA charger;minimum3Ah battery;set quantity1 only for SLA;remove battery to charge;never use on Bioenno
ADAPTER-SLA,0,Optional insulated18AWG SLA blade-to-PP30 adapter,Matched F2 female terminals plus PP30 pair and boots,12.00,allowance optional,Terminal size verified;local components need quote,https://www.power-sonic.com/wp-content/uploads/datasheets/ps-12120-12121-2.pdf,Set quantity1 with SLA;two6.35x0.8mm F2 female contacts rated>=10A DC matched to18AWG;use4.75x0.8mm F1 contacts only for actualF1 pack;existingF1 fuse within100mm of battery positive including connector path;no extra fuse
U7,1,MAX98357A mono I2S amplifier,Adafruit 3006,5.95,listed,In stock,https://www.adafruit.com/product/3006,GAIN100k to5V gives3dB; fixed digital gain0.28
SPK1,1,8ohm1W3inch speaker,Adafruit 1313,1.95,listed,In stock,https://www.adafruit.com/product/1313,77.8x77.8x25.49mm; never ground either speaker lead
S1-S2,2,Panel SPST ON-OFF disconnect,NKK S1A,12.00,allowance,Distributor quote needed,https://www.nkkswitches.com/wp-content/themes/impress-blank/search/inc/part.php?part_no=S1A,20A30VDC;12.5mm hole; includes M12 panel hardware; OFF label required
FH1-FH4,4,Inline ATO fuse holder16AWG,Littelfuse 0FHA0001ZXJ,4.00,allowance,Distributor quote needed,https://info.littelfuse.com/ato-fha-series-landing-page,20A holder; insulate leads and restrain wiring
F1,1,ATO7.5A32V fuse,Littelfuse 025707.5,1.00,allowance,Distributor quote needed,https://www.littelfuse.com/products/fuses-overcurrent-protection/fuses/automotive-passenger-car/blade-fuses,Single main fuse;SLA positive terminal toF1<=100mm including adapter and PP30;Bioenno F1<=100mm from intact factory PP30
F2-F3,2,ATO3A32V fuse,Littelfuse 0257003,1.00,allowance,Distributor quote needed,https://www.littelfuse.com/products/fuses-overcurrent-protection/fuses/automotive-passenger-car/blade-fuses,Input branch fuses for motor and servo converters
F4,1,ATO1A32V fuse,Littelfuse 0257001,1.00,allowance,Distributor quote needed,https://www.littelfuse.com/products/fuses-overcurrent-protection/fuses/automotive-passenger-car/blade-fuses,Input fuse for logic converter
PP30,1,Anderson Powerpole mating red-black pair with contacts,PP30 genuine housings and30A contacts,6.00,allowance,Distributor quote needed,https://www.andersonpower.com/us/en/resources/PowerpoleResourcesPage.html,Use contacts matched to18AWG; do not cut factory battery lead
PROTO,2,Half-size solderable prototype board,Adafruit 1609,4.50,listed,In stock,https://www.adafruit.com/product/1609,One buffer board; one low-current divider board; power distribution uses separate heavy wire
SOCKET,2,DIP14 IC socket,14pin0.3inch socket,0.75,allowance,Generic stock not checked,,Protects buffers during soldering
R1-R8 R12 R20-R24 R40-R45,20,10kohm1percent0.25W resistor,Metal film axial,0.10,allowance,Generic stock not checked,,Input pull-downs;PCA OE pull-up;headPWM pull-down;two headgate pull-ups
R10 R14,2,100kohm1percent0.25W resistor,Metal film axial,0.10,allowance,Generic stock not checked,,Battery divider top and amplifier gain resistor
R11,1,22kohm1percent0.25W resistor,Metal film axial,0.10,allowance,Generic stock not checked,,Battery divider bottom; never replace with33k
R13,1,15kohm1percent0.25W resistor,Metal film axial,0.10,allowance,Generic stock not checked,,Actuator sense bottom resistor
R30-R35,6,220ohm0.25W resistor,Metal film axial,0.10,allowance,Generic stock not checked,,Four servo signal and two head bridge input series resistors
R15-R16,2,100ohm1W resistor,Metal film flameproof axial,0.40,allowance,Generic stock not checked,,Actuator rail discharge; dissipates0.25W each during use
C8-C11 MOTOR_CAPS,9,100nF25Vorhigher ceramic capacitor,X7R radial,0.15,allowance,Generic stock not checked,,Five motor suppression;two buffer bypass;two ADC filters
C1-C2,2,220uF25V lowESR capacitor,105C radial electrolytic,0.75,allowance,Generic stock not checked,,Motor and servo converter input; polarity critical
C3,1,100uF25V capacitor,105C radial electrolytic,0.50,allowance,Generic stock not checked,,Logic converter input
C4-C5 C7 C12,4,470uF10V lowESR capacitor,105C radial electrolytic,0.75,allowance,Generic stock not checked,,One at each of three drivers and one at logic output
C6,1,1000uF10V lowESR capacitor,105C radial electrolytic,1.00,allowance,Generic stock not checked,,Servo distribution block; polarity critical
POWER_WIRE,4,18AWG flexible stranded copper wire metre,Silicone insulation red-black-orange,1.50,allowance,Generic stock not checked,,Combined total4m; trim to actual path plus service loop
BRANCH_WIRE,5,22AWG flexible stranded wire metre,Red and black copper,1.00,allowance,Generic stock not checked,,Individual servo and logic branches
SIGNAL_WIRE,5,26AWG stranded signal wire metre,Assorted color copper,0.60,allowance,Generic stock not checked,,Keep I2C and I2S runs short under200mm where possible
CONNECTORS,1,Connector and termination allowance,Insulated terminal blocks and ferrules and servo header extensions,18.00,allowance,Generic stock not checked,,Power blocks rated>=10A30VDC;four servo3pin sockets;removable run-power link;five2pin motor plugs
INSULATION,1,Electrical assembly consumables,Heatshrink cable ties labels solder and foam,12.00,allowance,Generic stock not checked,,Insulation and strain relief are required
